# G(2) Function
# 2024-12-12 17:10:36
# Histogram Width = 32 ns
# Events Ch. 0 = 6.302e+07 
# Events Ch. 1 = 8.702e+07 
# Integr. Time = 00:01:37 h
# G(2) Norm = 224.9 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
-3.0255782E-008 ;  1.0269630E+000
-3.0251781E-008 ;  9.9584300E-001
-3.0247781E-008 ;  9.0692800E-001
-3.0243780E-008 ;  9.2471100E-001
-3.0239780E-008 ;  8.8914500E-001
-3.0235779E-008 ;  9.9139700E-001
-3.0231779E-008 ;  9.1137400E-001
-3.0227778E-008 ;  9.0692800E-001
-3.0223778E-008 ;  9.0692800E-001
-3.0219777E-008 ;  8.9803700E-001
-3.0215777E-008 ;  9.6472300E-001
-3.0211776E-008 ;  9.8250600E-001
-3.0207776E-008 ;  1.0136260E+000
-3.0203775E-008 ;  9.6916900E-001
-3.0199775E-008 ;  1.0002890E+000
-3.0195774E-008 ;  8.8025400E-001
-3.0191774E-008 ;  9.9584300E-001
-3.0187773E-008 ;  9.5583100E-001
-3.0183773E-008 ;  9.7361400E-001
-3.0179772E-008 ;  9.5583100E-001
-3.0175772E-008 ;  9.6916900E-001
-3.0171771E-008 ;  9.6472300E-001
-3.0167771E-008 ;  8.4468800E-001
-3.0163770E-008 ;  8.8470000E-001
-3.0159770E-008 ;  9.5138600E-001
-3.0155769E-008 ;  9.4694000E-001
-3.0151769E-008 ;  8.6691700E-001
-3.0147768E-008 ;  1.1292150E+000
-3.0143768E-008 ;  1.0580830E+000
-3.0139767E-008 ;  1.0269630E+000
-3.0135767E-008 ;  1.0358550E+000
-3.0131766E-008 ;  9.6916900E-001
-3.0127766E-008 ;  9.4249400E-001
-3.0123765E-008 ;  9.5138600E-001
-3.0119765E-008 ;  1.0225170E+000
-3.0115764E-008 ;  9.8695100E-001
-3.0111764E-008 ;  9.2915700E-001
-3.0107763E-008 ;  9.4694000E-001
-3.0103763E-008 ;  8.7580800E-001
-3.0099762E-008 ;  9.7361400E-001
-3.0095762E-008 ;  1.0047340E+000
-3.0091761E-008 ;  9.5138600E-001
-3.0087761E-008 ;  1.0269630E+000
-3.0083760E-008 ;  1.0358550E+000
-3.0079760E-008 ;  1.0269630E+000
